autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
Yes (self-identified),56e5adeab2093a000d4f18d2,two pentagons and a triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large pentagons and a small square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (self-identified),56e5adeab2093a000d4f18d2,two small green squares to the left of one large pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large pink circles to the left of one small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (self-identified),56e5adeab2093a000d4f18d2,two triangles and a square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (self-identified),56e5adeab2093a000d4f18d2,two green triangles and a star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large pink circles to the left of one small blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large blue stars to the left of one small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (self-identified),56e5adeab2093a000d4f18d2,two squares and a star,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (self-identified),56e5adeab2093a000d4f18d2,two squares and a star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (self-identified),56e5adeab2093a000d4f18d2,two small black squares to the left of one large green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (self-identified),56e5adeab2093a000d4f18d2,two small black pentagons to the left of one large pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two circles and a square,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (self-identified),56e5adeab2093a000d4f18d2,black stars and a circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large pink stars to the left of one small green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two small green stars to the left of one large pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (self-identified),56e5adeab2093a000d4f18d2,two stars and a circle,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large triangles and one small pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (self-identified),56e5adeab2093a000d4f18d2,two small green pentagons to the left of one large black square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large black triangles to the left of one small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (self-identified),56e5adeab2093a000d4f18d2,two circles and a pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (self-identified),56e5adeab2093a000d4f18d2,black circles and a triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two large blue triangles to the left of one small black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (self-identified),56e5adeab2093a000d4f18d2,two small blue squares to the left of one large green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 pentagons and a small blue triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 large pentagons and a small square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 small green squares and a large pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 large pink circles and a small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 small triangles and a square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 green triangles and a pink star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 circles and a triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 large blue stars and a small pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 squares and a small star,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 large green squares and a small star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 small black squares and a large pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 small black pentagons and a large circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 small black circles and a large square,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 black stars and a large blue circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 large stars and a triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 small green stars and a large pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 stars and a circle,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 large triangles and a small pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 small pentagons and a large square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 black triangles and a star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 circles and a large pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 black circles and a triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 blue triangles and a circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (clinically diagnosed),587625efdb3e720001e233fb,2 blue squares and a triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 pink pentagons and a little blue triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 big black pentagons and a small pink square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small green squares and a large pink star on the right hand side,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 big pink circles and a small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small pink triangles and a black square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small green triangles and a big pink star on the right hand side,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 large pink circles and a small blue triangle on the right hand side,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 big blue stars and a small black pentagon on the right hand side,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 large blue squares and a small black star on the right hand side,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 large green squares and a small black star on the right hand side,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small black squares and a big green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small black pentagons and a big pink circle on the right hand side,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small black circles and a green square,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small black stars and a large blue circle to the right hand side,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 big pink stars and a small green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 little stars and a big pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 large green stars and a small pink circle on the right hand side,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 large green triangles and a small blue pentagon on the right hand side,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small green Pentagons and a big black square on the right hand side,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 big black triangles and a small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small green circles and a big blue pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 black circles and a green triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 big blue triangles and a small black circle to the right of the triangles,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (self-identified),5a2ea69555ff700001ab7c81,2 small blue squares and a large green triangle on the right hand side,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two squares,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two large circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two small triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two large stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two large squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two small pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two circles,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),5a46d551b77a5000014a8ce9,two small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
