autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
No,55cca8f81676ab000ff06ef1, pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,55cca8f81676ab000ff06ef1,two large pentagons followed by a small pink square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,55cca8f81676ab000ff06ef1, two small green squares followed by a larger pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,55cca8f81676ab000ff06ef1,two large pink circles followed by a smaller black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,55cca8f81676ab000ff06ef1,two small pink triangles followed by a large black square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,55cca8f81676ab000ff06ef1,two small green triangles at the begining,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,55cca8f81676ab000ff06ef1,two large pink circles followed by a small blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,55cca8f81676ab000ff06ef1,2 blue large stars followed by a small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,55cca8f81676ab000ff06ef1, 2 squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,55cca8f81676ab000ff06ef1, green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,55cca8f81676ab000ff06ef1,two small black squares followed by a larger green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,55cca8f81676ab000ff06ef1, 2 small black pentagons followed by a large pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,55cca8f81676ab000ff06ef1, two small black circles followed by a larger green square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,55cca8f81676ab000ff06ef1, black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,55cca8f81676ab000ff06ef1, two large pink stars followed by a small green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,55cca8f81676ab000ff06ef1,two small green stars and a larger pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,55cca8f81676ab000ff06ef1, stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,55cca8f81676ab000ff06ef1, 2 large green triangles and a smaller pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,55cca8f81676ab000ff06ef1, 2 small green pentagons followed by a larger black square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,55cca8f81676ab000ff06ef1,2 large black triangles followed by a small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,55cca8f81676ab000ff06ef1, two small green circles followed by a large blue pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,55cca8f81676ab000ff06ef1,2 small black circles followed by a large green triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,55cca8f81676ab000ff06ef1,two blue squares next to each other next to a small black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,55cca8f81676ab000ff06ef1,2 small blue squares followed by a larger green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,57c357770e6a1f00015f6038,two pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,57c357770e6a1f00015f6038,two large pentagons and a small square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,57c357770e6a1f00015f6038,2 small green square and large pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,57c357770e6a1f00015f6038,two large pink circles and a star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,57c357770e6a1f00015f6038,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,57c357770e6a1f00015f6038,two small green triangles and a star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,57c357770e6a1f00015f6038,two large pink circles and a small blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,57c357770e6a1f00015f6038,two large blue stars and a small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,57c357770e6a1f00015f6038,two squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,57c357770e6a1f00015f6038,two large squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,57c357770e6a1f00015f6038,two small black squares and a large green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,57c357770e6a1f00015f6038,two small black pentagons and a large pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,57c357770e6a1f00015f6038,two circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,57c357770e6a1f00015f6038,two pink stars and a circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,57c357770e6a1f00015f6038,two large pink stars and a small triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,57c357770e6a1f00015f6038,two small green stars and a large pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,57c357770e6a1f00015f6038,two stars and a circle,star,no,type,"two, big, green, star","one, small, pink, circle"
No,57c357770e6a1f00015f6038,two large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,57c357770e6a1f00015f6038,two small green pentagons and a large black square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,57c357770e6a1f00015f6038,two large black triangles and a small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,57c357770e6a1f00015f6038,two circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,57c357770e6a1f00015f6038,2 black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,57c357770e6a1f00015f6038,two large blue triangles and a small black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,57c357770e6a1f00015f6038,2 small blue squares and a large green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,598c4b28cceb0f0001b39675,two pentagons and a triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,598c4b28cceb0f0001b39675,two large pentagons and a small square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,598c4b28cceb0f0001b39675,two small green squares and a large pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,598c4b28cceb0f0001b39675,two large pink circles and a small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,598c4b28cceb0f0001b39675,two triangles and a square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,598c4b28cceb0f0001b39675,two small triangles and a large star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,598c4b28cceb0f0001b39675,two circles and a triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,598c4b28cceb0f0001b39675,two large blue stars and a small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,598c4b28cceb0f0001b39675,two squares and a star,square,no,type,"two, big, blue, square","one, small, black, star"
No,598c4b28cceb0f0001b39675,two squares and a star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,598c4b28cceb0f0001b39675,two small squares and a large pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,598c4b28cceb0f0001b39675,two pentagons and a circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,598c4b28cceb0f0001b39675,two circles and a square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,598c4b28cceb0f0001b39675,two small stars and a large circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,598c4b28cceb0f0001b39675,two large stars and a small triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,598c4b28cceb0f0001b39675,two small stars and a large square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,598c4b28cceb0f0001b39675,two stars and a circle,star,no,type,"two, big, green, star","one, small, pink, circle"
No,598c4b28cceb0f0001b39675,two large triangles and a small pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,598c4b28cceb0f0001b39675,two small pentagons and a large square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,598c4b28cceb0f0001b39675,two large black triangles and a small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,598c4b28cceb0f0001b39675,two circles and a pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
