autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
Yes (self-identified),571a78f06a1c6300114b8d80,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (self-identified),571a78f06a1c6300114b8d80,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (self-identified),571a78f06a1c6300114b8d80,2 green squares,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (self-identified),571a78f06a1c6300114b8d80,2 big circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (self-identified),571a78f06a1c6300114b8d80,2 small triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (self-identified),571a78f06a1c6300114b8d80,2 green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (self-identified),571a78f06a1c6300114b8d80,"circles, small blue triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (self-identified),571a78f06a1c6300114b8d80,"large blue stars, small pentagon","big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (self-identified),571a78f06a1c6300114b8d80,squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (self-identified),571a78f06a1c6300114b8d80,large squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (self-identified),571a78f06a1c6300114b8d80,no 2 black stars and green pentagon or 2 black squares and green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (self-identified),571a78f06a1c6300114b8d80,"small pentagons, pink circle","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (self-identified),571a78f06a1c6300114b8d80,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (self-identified),571a78f06a1c6300114b8d80,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (self-identified),571a78f06a1c6300114b8d80,"2 large stars, small green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (self-identified),571a78f06a1c6300114b8d80,2 small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (self-identified),571a78f06a1c6300114b8d80,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (self-identified),571a78f06a1c6300114b8d80,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (self-identified),571a78f06a1c6300114b8d80," pentagons, large square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (self-identified),571a78f06a1c6300114b8d80,"black triangles, small blue star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (self-identified),571a78f06a1c6300114b8d80,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (self-identified),571a78f06a1c6300114b8d80,2 black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (self-identified),571a78f06a1c6300114b8d80,"large triangles, small circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (self-identified),571a78f06a1c6300114b8d80,"blue squares, triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two big pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two squares,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two big circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,big squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,2 black squares and pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two circles,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two stars,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two big triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,big triangles,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (clinically diagnosed),577a0a7aadbc7500015d2479,two blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two small green squares and large pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two large pink circles and small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),57b4a771cda70d0001534835,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),57b4a771cda70d0001534835,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two large pink circles and small blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two large blue stars and small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),57b4a771cda70d0001534835,squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),57b4a771cda70d0001534835,large squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two small black squares and large green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),57b4a771cda70d0001534835,Pink circle and black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (clinically diagnosed),57b4a771cda70d0001534835,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two large pink stars and small green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two small green stars and large pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two stars,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (clinically diagnosed),57b4a771cda70d0001534835,"two small green pentagons, large black square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two black triangles and blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (clinically diagnosed),57b4a771cda70d0001534835,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (clinically diagnosed),57b4a771cda70d0001534835,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two large blue triangles and small black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (clinically diagnosed),57b4a771cda70d0001534835,two small blue squares and large green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,five sides,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two black 5-sides larger than the pink,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two small four side and big pink,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two big pink and small five point,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
