autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
No,573f3168d700ea000ff433a6,two pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,573f3168d700ea000ff433a6,"two large pentagons, one square",big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,573f3168d700ea000ff433a6,"two squares, one star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,573f3168d700ea000ff433a6,"two large circles, one star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,573f3168d700ea000ff433a6,"two triangles, one square",triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,573f3168d700ea000ff433a6,two green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,573f3168d700ea000ff433a6,two large circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,573f3168d700ea000ff433a6,"two stars, one pentagon","big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,573f3168d700ea000ff433a6,two squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,573f3168d700ea000ff433a6,two squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,573f3168d700ea000ff433a6,two squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,573f3168d700ea000ff433a6,two black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,573f3168d700ea000ff433a6,"two circles, one square",circle,no,type,"two, small, black, circle","one, big, green, square"
No,573f3168d700ea000ff433a6,"two stars, one circle",black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,573f3168d700ea000ff433a6,"two stars, one triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,573f3168d700ea000ff433a6,"two small stars, one square",small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,573f3168d700ea000ff433a6,two stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,573f3168d700ea000ff433a6,"two large triangles, one pentagon",big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,573f3168d700ea000ff433a6,two pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,573f3168d700ea000ff433a6,two black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,573f3168d700ea000ff433a6,two circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,573f3168d700ea000ff433a6,two black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,573f3168d700ea000ff433a6,"two triangles, one circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,573f3168d700ea000ff433a6,"2 blue squares, 1 green triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5975ea651a800200011cd0f7,two pentagons ,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5975ea651a800200011cd0f7,two big pentagons and square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5975ea651a800200011cd0f7,two small green squares and star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5975ea651a800200011cd0f7,two big pink circles and star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5975ea651a800200011cd0f7,two triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5975ea651a800200011cd0f7,two green triangles and star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5975ea651a800200011cd0f7,two pink circles and blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5975ea651a800200011cd0f7,two big blue stars and pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5975ea651a800200011cd0f7,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5975ea651a800200011cd0f7,two green squares and star ,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5975ea651a800200011cd0f7,two small black squares and pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5975ea651a800200011cd0f7,two small black pentagons and pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5975ea651a800200011cd0f7,two circles and square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5975ea651a800200011cd0f7,two black stars and circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5975ea651a800200011cd0f7,two pink stars and green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5975ea651a800200011cd0f7,two small green stars and pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5975ea651a800200011cd0f7,two stars ,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5975ea651a800200011cd0f7,two big triangles and pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5975ea651a800200011cd0f7,two green pentagons and square ,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5975ea651a800200011cd0f7,two triangles and star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5975ea651a800200011cd0f7,two circles and square,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5975ea651a800200011cd0f7,two black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5975ea651a800200011cd0f7,two large blue triangles and black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5975ea651a800200011cd0f7,two squares and triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5987bfb80e411a0001d83837,hexagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5987bfb80e411a0001d83837,"2 hexagons, square",big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5987bfb80e411a0001d83837,"square, star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,5987bfb80e411a0001d83837,large star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5987bfb80e411a0001d83837,"triangle, square",triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5987bfb80e411a0001d83837,"green triangle, star","small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5987bfb80e411a0001d83837,"pink circle, triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5987bfb80e411a0001d83837,blue hexagons,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5987bfb80e411a0001d83837,"2 square, star",square,no,type,"two, big, blue, square","one, small, black, star"
No,5987bfb80e411a0001d83837,"2 square, star","big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5987bfb80e411a0001d83837,"square, hexagons",square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5987bfb80e411a0001d83837,black circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5987bfb80e411a0001d83837,"2 circle, square",circle,no,type,"two, small, black, circle","one, big, green, square"
No,5987bfb80e411a0001d83837,"2 star, circle",black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5987bfb80e411a0001d83837,"star, triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5987bfb80e411a0001d83837,"2 small star, square",small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5987bfb80e411a0001d83837,"2 star, circle",star,no,type,"two, big, green, star","one, small, pink, circle"
No,5987bfb80e411a0001d83837,large hexagons,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5987bfb80e411a0001d83837,"2 hexagons, square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5987bfb80e411a0001d83837,"black triangle, star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5987bfb80e411a0001d83837,"2 circle, hexagons",circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5987bfb80e411a0001d83837,"2 black circle, triangle",black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5987bfb80e411a0001d83837,"triangle, circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5987bfb80e411a0001d83837,blue box,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,59a9c0291b7a550001d6392e,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,59a9c0291b7a550001d6392e,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,59a9c0291b7a550001d6392e,"pink star, green squares",square,yes,type,"two, small, green, square","one, big, pink, star"
No,59a9c0291b7a550001d6392e,"pink circle, black star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,59a9c0291b7a550001d6392e,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,59a9c0291b7a550001d6392e,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,59a9c0291b7a550001d6392e,"pink circles, blue triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,59a9c0291b7a550001d6392e,blue star,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,59a9c0291b7a550001d6392e,blue squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,59a9c0291b7a550001d6392e,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,59a9c0291b7a550001d6392e,"pentagon, black squares",square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,59a9c0291b7a550001d6392e,"pink circle, black pentagon","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,59a9c0291b7a550001d6392e,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,59a9c0291b7a550001d6392e,"circle, black stars",black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,59a9c0291b7a550001d6392e,"pink stars, green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,59a9c0291b7a550001d6392e,"pink square, green stars",small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,59a9c0291b7a550001d6392e,green stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,59a9c0291b7a550001d6392e,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,59a9c0291b7a550001d6392e,"black square, green pentagons",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,59a9c0291b7a550001d6392e,"black triangles, blue star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,59a9c0291b7a550001d6392e,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,59a9c0291b7a550001d6392e,"triangle, black circles",black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,59a9c0291b7a550001d6392e,"blue triangles, black circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,59a9c0291b7a550001d6392e,"blue square, green triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,59b044b4d98aab00019bad5a,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,59b044b4d98aab00019bad5a,larger pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,59b044b4d98aab00019bad5a,green squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,59b044b4d98aab00019bad5a,larger circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,59b044b4d98aab00019bad5a,small triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,59b044b4d98aab00019bad5a,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,59b044b4d98aab00019bad5a,large circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,59b044b4d98aab00019bad5a,blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,59b044b4d98aab00019bad5a,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,59b044b4d98aab00019bad5a,squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,59b044b4d98aab00019bad5a,black squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,59b044b4d98aab00019bad5a,black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,59b044b4d98aab00019bad5a,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,59b044b4d98aab00019bad5a,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,59b044b4d98aab00019bad5a,large stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,59b044b4d98aab00019bad5a,small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,59b044b4d98aab00019bad5a,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,59b044b4d98aab00019bad5a,larger triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,59b044b4d98aab00019bad5a,small pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,59b044b4d98aab00019bad5a,black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,59b044b4d98aab00019bad5a,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,59b044b4d98aab00019bad5a,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,59b044b4d98aab00019bad5a,large triangles,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,59b044b4d98aab00019bad5a,blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,59d37a45f7b7a00001198315,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,59d37a45f7b7a00001198315,larger pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,59d37a45f7b7a00001198315,"small squares, star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,59d37a45f7b7a00001198315,large pink circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,59d37a45f7b7a00001198315,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,59d37a45f7b7a00001198315,small triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,59d37a45f7b7a00001198315,"large circle, small triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,59d37a45f7b7a00001198315,large blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,59d37a45f7b7a00001198315,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,59d37a45f7b7a00001198315,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,59d37a45f7b7a00001198315,"2 squares, 1 pentagon",square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,59d37a45f7b7a00001198315,small black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,59d37a45f7b7a00001198315,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,59d37a45f7b7a00001198315,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,59d37a45f7b7a00001198315,"pink stars, green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,59d37a45f7b7a00001198315,"small stars, square",small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,59d37a45f7b7a00001198315,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,59d37a45f7b7a00001198315,large green triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,59d37a45f7b7a00001198315,"pentagons, square",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
